trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-230.03403434702264,"{0: 10, 1: 4, 2: 6, 3: 2, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-61.8420642131216,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-161.90289208115715,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-151.98338262822347,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-51.27871585126952,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-45.726344822897246,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-102.72181858252347,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-12.60964066743787,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-76.65356633948487,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-55.72959305135552,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-68.0626570947734,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-111.9500793196278,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-151.26657449460342,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-190.90733669449776,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-128.3839026646964,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-67.99091545535947,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-179.19694834456124,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-181.37972400562558,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-95.18236622813548,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,6,-88.58723685357957,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-130.45807956195725,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-139.4166149219335,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-105.61634491176353,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-47.46890560605192,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-140.2030616935209,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-99.45162017136161,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-95.04146760236802,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-133.68887614188662,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-61.769734054620336,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-47.867154783953175,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
