trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9900498337491681}",20,0,-91.86326979713982,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.9851119396030626}",25,0,-63.02660842048324,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9801986733067553}",30,0,-218.6120758923349,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.005, 'e': 0.9753099120283326}",25,10,-122.11052062177245,"{0: 6, 1: 2, 2: 4, 3: 2, 4: 1}",1
5,False,"{'a': 0.005, 'e': 0.9704455335485082}",20,0,-38.951137137268184,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9656054162575665}",25,0,-92.15446853636345,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,0,-57.548574817472144,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.005, 'e': 0.9559974818331}",20,0,-73.87335961109964,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-64.45742611989073,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.005, 'e': 0.9464851479534838}",35,15,-89.79932923934062,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,0,-102.104658372853,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-93.91470312397793,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9323938199059483}",25,7,-21.863731684795823,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.005, 'e': 0.9277434863285529}",25,10,-65.11339368753144,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-95.98273639072981,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.9185122844014574}",20,0,-118.52228231368878,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.005, 'e': 0.9139311852712282}",20,0,-120.32099538383488,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.005, 'e': 0.9093729344682314}",25,0,-84.59974943266458,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.005, 'e': 0.9048374180359595}",30,0,-236.58438734540877,"{0: 15, 1: 6, 2: 4, 3: 1, 4: 4}",0
20,False,"{'a': 0.005, 'e': 0.9003245225862656}",20,0,-103.95019222800558,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.005, 'e': 0.8958341352965282}",30,0,-189.55459124591007,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
22,False,"{'a': 0.005, 'e': 0.8913661439068313}",20,0,-116.93973236423315,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.005, 'e': 0.8869204367171575}",30,0,-159.92395039765412,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
24,False,"{'a': 0.005, 'e': 0.8824969025845955}",20,6,-87.53136119696941,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 1}",1
25,False,"{'a': 0.005, 'e': 0.8780954309205613}",20,0,-134.92571504179972,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
26,False,"{'a': 0.005, 'e': 0.8737159116880344}",25,0,-70.4078623108574,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.005, 'e': 0.8693582353988059}",35,0,-52.194575110783774,"{0: 26, 1: 6, 2: 1, 3: 2, 4: 0}",0
28,False,"{'a': 0.005, 'e': 0.8650222931107413}",20,0,-113.49024481716317,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
29,False,"{'a': 0.005, 'e': 0.8607079764250578}",20,3,-90.84224799236574,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
30,False,"{'a': 0.005, 'e': 0.8564151774836135}",25,0,-160.72984424557544,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
