trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.14059186188427,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.774094346517806,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.58756575767853,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.6010569281961,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.23093015250484,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.60766060752152,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.08504859069118,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.39146946065276,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.4877840990833,"{0: 8, 1: 9, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,2,-25.779886793195388,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.90471457574907,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,17,-65.22330693983442,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.68372496587702,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.49908819194198,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.91339745635052,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.6529482952969,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.122511177450978,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.71054594996593,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.3846240589972,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.12578439950573,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-212.71183991139011,"{0: 8, 1: 6, 2: 1, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-183.06025735168907,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.41870849885984,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-61.428041747203174,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.99067253563294,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.66111115792066,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-236.75854106713183,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.01205872723742,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-162.77727738045033,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-235.51948157432525,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 5}",0
